Price,Close,High,Low,Open,Volume
Ticker,V,V,V,V,V
Date,,,,,
2020-11-27,203.48587036132812,204.47918883562355,201.37385826235663,204.45025837251927,3512900
2020-11-30,202.85897827148438,203.04219959134227,199.2425240454564,202.0778117977348,7725500
2020-12-01,203.67872619628906,206.06076554101207,203.5244205970652,204.57561461580994,8047900
2020-12-02,202.69505310058594,203.87160758165237,201.05559652192704,203.48585828622404,9728900
2020-12-03,200.64085388183594,203.59187774161376,200.21652096062044,202.30924039898977,9203300
2020-12-04,205.10601806640625,205.14460182425913,201.08452216067514,202.27072991068331,5720100
2020-12-07,205.0771026611328,206.86122635031137,204.2573816889805,204.42132588341096,10624500
2020-12-08,205.1928253173828,205.54000556305047,202.41538335204163,202.47324427375423,8646200
2020-12-09,202.1164093017578,205.89680794406422,201.50884024152236,205.6364191017646,6251100
2020-12-10,200.21658325195312,201.84640124487763,199.86940300070654,201.08452652237344,10492000
2020-12-11,198.89537048339844,199.52221674702255,197.2173302002901,198.046704402462,9227600
2020-12-14,199.86940002441406,203.77517411392856,199.5993725791758,200.4480386730059,11967700
2020-12-15,200.9398651123047,201.9814058188581,198.8182146576478,201.11344787236777,9796100
2020-12-16,200.8530731201172,201.68244730713795,199.76331007840375,201.05558633957355,7504400
2020-12-17,203.659423828125,204.238062437716,201.41241303499837,201.55706532970055,6517200
2020-12-18,203.7847900390625,204.4309281194305,202.39606920915315,203.5051240430846,13298200
2020-12-21,201.5666961669922,202.32857079752995,197.4969783246237,200.8530585866901,7576700
2020-12-22,198.5095977783203,200.97842839778716,198.27815410486483,200.9687898165236,7396200
2020-12-23,197.98883056640625,199.94653674463214,197.8055945185758,199.94653674463214,6523100
2020-12-24,201.2677764892578,201.38351305792884,199.24257047993174,199.2811395258932,3367900
2020-12-28,205.0577850341797,205.85822868343882,201.50883023644508,202.3767880958853,5816200
2020-12-29,206.73585510253906,207.5748826862607,205.935411280231,206.96731352484045,6093400
2020-12-30,210.58372497558594,212.54143107306413,207.97022750846813,208.3077691316431,8875100
2020-12-31,210.94056701660156,211.9917610400527,208.50066674009366,210.6223172350494,5922200
2021-01-04,210.0050811767578,212.40641208653645,206.6104467296383,212.40641208653645,10318300
2021-01-05,206.87083435058594,210.68017816620716,206.0318216221241,208.60673543998192,6869700
2021-01-06,205.0481414794922,208.47172131547262,204.51773993036932,206.18612680293901,7206200
2021-01-07,206.19578552246094,207.55557606555055,204.64312033218093,204.64312033218093,10967900
2021-01-08,207.7773895263672,208.42352771389452,205.1735448961457,206.54297407625637,6513000
2021-01-11,205.3085174560547,207.20836259283305,204.91311492770407,206.34041946193705,7353100
2021-01-12,201.4220428466797,205.2120799567778,200.08154435103452,204.77810837617437,9331600
2021-01-13,201.89456176757812,203.485795514594,201.20020147769065,201.9524226725041,6688500
2021-01-14,194.67132568359375,203.68835767515978,194.54595055823,203.07115005976874,12887500
2021-01-15,194.41098022460938,196.02150647539506,193.2922865735771,194.36275787983507,8755000
2021-01-19,194.4784698486328,196.89907821000043,192.9450966003807,195.8189684575801,9772000
2021-01-20,198.6735382080078,199.81152353748573,195.02815326587123,195.79966649876272,12675700
2021-01-21,197.83450317382812,199.79220913629553,197.4583925385607,198.7120995612485,6513500
2021-01-22,194.82565307617188,198.01777475915054,194.61348655506225,196.72549846904053,7316200
2021-01-25,193.8226318359375,194.45913123652866,188.77888838906952,193.20542430925798,19282400
2021-01-26,194.8159942626953,196.2432989489071,193.813037322079,194.57489728784228,9605300
2021-01-27,188.0267333984375,192.58828461180076,187.05270679597697,190.60164764546727,13772400
2021-01-28,191.1609344482422,194.80631884140973,191.11271211931262,192.8775434073364,11041300
2021-01-29,186.3679656982422,195.81897026534526,185.9436326586192,190.77522555977242,21503000
2021-02-01,191.2959747314453,192.11571029103075,188.07492284048809,188.1906446736942,12970700
2021-02-02,195.39459228515625,197.07263217897457,192.877539802123,193.69727523243742,11305100
2021-02-03,194.18910217285156,196.26252978096585,193.82263014866115,195.83821156632038,13458600
2021-02-04,201.7981719970703,202.21285173874193,195.86719218295474,196.00220590296314,14534800
2021-02-05,201.33529663085938,202.6468649629936,201.22921335710612,202.5021979267516,10284000
2021-02-08,199.522216796875,203.1483100897416,198.57712075266357,202.52146382596086,8637100
2021-02-09,199.16537475585938,200.2358458141896,196.44579406671068,198.43243060198887,7619400
2021-02-10,199.08822631835938,200.56373852353832,198.60603240253903,200.56373852353832,8467600
2021-02-11,203.47337341308594,204.37163954667145,200.12175069472468,200.25697402897103,8411100
2021-02-12,202.79722595214844,203.92730966068325,200.59499454011618,202.2176890429448,6911000
2021-02-16,200.8074951171875,203.8500418542577,200.27627013261116,203.4733472759427,9652700
2021-02-17,200.43080139160156,201.1745370067033,198.06438596708097,198.25756002940662,8373200
2021-02-18,202.20802307128906,202.54607396568557,197.96778866964283,198.85640106777026,7328600
2021-02-19,197.7456512451172,202.38190264577466,196.80874152451244,202.1983821197251,15011500
2021-02-22,201.21319580078125,203.46369516663822,196.18092782755107,196.6059196395843,8337700
2021-02-23,204.87391662597656,206.61251298678548,199.503597107886,200.3245907100465,10571700
2021-02-24,211.9441375732422,213.0066169640126,204.08183429624734,205.11533831619994,12039000
2021-02-25,206.4579620361328,212.9293899452902,205.32787811778684,211.80895957320342,11404300
2021-02-26,205.14434814453125,207.86815136479652,203.550643528921,206.747721044195,11730000
2021-03-01,209.23968505859375,210.3697688090958,207.46244534887907,207.63631232339128,6982000
2021-03-02,208.40902709960938,210.4953276639547,207.49143922450907,209.55843269885324,6155200
2021-03-03,207.5204620361328,209.78063009481073,205.59834498859183,207.81021583475305,6484600
2021-03-04,204.28465270996094,209.61634138966394,201.55119672307885,208.6021593150883,10658900
2021-03-05,208.06129455566406,208.72775757393106,202.4784803497043,206.4386000670702,7582000
2021-03-08,212.75550842285156,218.41559552064547,208.4476545273006,209.5777382902258,14750400
2021-03-09,212.84246826171875,217.32417510547543,212.67826954244995,214.4844701926457,9228600
2021-03-10,215.5565643310547,216.54177120643507,211.91517357444465,213.19014891178824,7822900
2021-03-11,218.43490600585938,220.4439487505893,216.17473844487702,216.870176884908,10053400
2021-03-12,216.70594787597656,218.81156999169545,215.79801366525933,217.59456026099656,8172400
2021-03-15,215.6531524658203,219.3428255770325,214.17534956480193,216.58039383128028,9306100
2021-03-16,217.0343780517578,217.88436165219247,214.7162597174194,216.07816123950576,8949300
2021-03-17,215.41165161132812,218.521802126323,214.19462722131829,217.37239675275092,8675600
